14 июл. 2026 10:44:52,807 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@73c2a19
14 июл. 2026 10:47:24,717 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:24,737 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:26,711 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:27,426 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:27,453 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:27,453 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:27,454 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:31,313 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 852, SID: _ADDFORMNEWSESSION_Main_products_p_Main_Product()]
14 июл. 2026 10:47:31,321 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[2028180791 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:31,714 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:31,714 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:32,477 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:35,697 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,0), value : {
14 июл. 2026 10:47:35,705 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,0)
14 июл. 2026 10:47:36,121 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,1), value : {k
14 июл. 2026 10:47:36,128 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,1)
14 июл. 2026 10:47:36,637 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,2), value : {kt
14 июл. 2026 10:47:36,645 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,2)
14 июл. 2026 10:47:36,796 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,3), value : {kt,
14 июл. 2026 10:47:36,802 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,3)
14 июл. 2026 10:47:37,478 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:37,478 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:37,508 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,4), value : {kt
