14 июл. 2026 10:44:42,484 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1575705512
14 июл. 2026 10:44:42,484 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@148366732
14 июл. 2026 10:44:42,484 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2147184921
14 июл. 2026 10:44:42,484 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@174405165
14 июл. 2026 10:44:42,578 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@196228683
14 июл. 2026 10:44:42,590 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1102840521
14 июл. 2026 10:44:43,178 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1448275002
14 июл. 2026 10:44:43,218 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@196228683
14 июл. 2026 10:44:43,218 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1448275002
14 июл. 2026 10:44:43,218 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1102840521
14 июл. 2026 10:44:43,270 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
14 июл. 2026 10:44:49,012 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@456949250
14 июл. 2026 10:44:52,820 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1432670264
14 июл. 2026 10:44:53,598 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1432670264
14 июл. 2026 10:44:53,634 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1075933747
14 июл. 2026 10:44:53,635 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2065736353
14 июл. 2026 10:44:54,448 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2065736353
14 июл. 2026 10:44:55,086 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1302362000
14 июл. 2026 10:45:02,425 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@895936980
14 июл. 2026 10:45:02,618 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@895936980
14 июл. 2026 10:45:04,941 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@434683741
14 июл. 2026 10:45:05,017 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1673669068
14 июл. 2026 10:45:05,286 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1673669068
14 июл. 2026 10:45:09,785 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@212016298
