14 июл. 2026 10:47:21,672  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 4] called delayUserInteraction: MessageClientAction[caption: lsFusion, msg: Изменения были удачно записаны..., type: LOG]
14 июл. 2026 10:47:21,672  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 4] called delayUserInteraction: lsfusion.interop.action.HideFormClientAction@6181afc1
14 июл. 2026 10:47:21,672  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 4] called delayUserInteraction: lsfusion.interop.action.DestroyFormClientAction@7a8bef6f
14 июл. 2026 10:47:21,673  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: executeEventAction, rq: 4] finished
14 июл. 2026 10:47:21,674  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: executeEventAction, rq: 4] for request #4
14 июл. 2026 10:47:21,694  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: gainedFocus, rq: 2] for request #2
14 июл. 2026 10:47:21,708  INFO PausableInvocationsLogger - Interaction [f: Main.products, m: executeEventAction, rq: 1] resumed after userInteraction: null
14 июл. 2026 10:47:21,711  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: executeEventAction, rq: 1] finished
14 июл. 2026 10:47:21,711  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:21,711  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: gainedFocus, rq: 2] for request #2
14 июл. 2026 10:47:21,711  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: gainedFocus, rq: 2]
14 июл. 2026 10:47:21,728  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: gainedFocus, rq: 2] finished
14 июл. 2026 10:47:21,728  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: gainedFocus, rq: 2] for request #2
14 июл. 2026 10:47:24,712  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: executeEventAction, rq: 3] for request #3
14 июл. 2026 10:47:24,712  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: executeEventAction, rq: 3] for request #3
14 июл. 2026 10:47:24,712  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: executeEventAction, rq: 3]
14 июл. 2026 10:47:24,736  INFO PausableInvocationsLogger - Interaction [f: Main.products, m: executeEventAction, rq: 3] called delayUserInteraction: FormClientAction[showFormType: DOCKED]
14 июл. 2026 10:47:24,739  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: executeEventAction, rq: 3] finished
14 июл. 2026 10:47:24,739  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: executeEventAction, rq: 3] for request #3
14 июл. 2026 10:47:24,799  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.product, m: gainedFocus, rq: 0] for request #0
14 июл. 2026 10:47:24,799  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.product, m: gainedFocus, rq: 0] for request #0
